fold,fold_role,estimator,subset,actual_level,actual_color,predicted_level,predicted_color,count,status
1,fit,multinomial_logistic,transition_truth,1,blue,1,blue,2,reported
1,fit,multinomial_logistic,transition_truth,1,blue,2,yellow,2,reported
1,fit,multinomial_logistic,transition_truth,1,blue,3,orange,0,reported
1,fit,multinomial_logistic,transition_truth,1,blue,4,red,0,reported
1,fit,multinomial_logistic,transition_truth,2,yellow,0,green,0,reported
1,fit,multinomial_logistic,transition_truth,2,yellow,1,blue,1,reported
1,fit,multinomial_logistic,transition_truth,2,yellow,2,yellow,3,reported
1,fit,multinomial_logistic,transition_truth,2,yellow,3,orange,0,reported
1,fit,multinomial_logistic,transition_truth,2,yellow,4,red,0,reported
1,fit,multinomial_logistic,transition_truth,3,orange,0,green,0,reported
1,fit,multinomial_logistic,transition_truth,3,orange,1,blue,0,reported
1,fit,multinomial_logistic,transition_truth,3,orange,2,yellow,0,reported
1,fit,multinomial_logistic,transition_truth,3,orange,3,orange,3,reported
1,fit,multinomial_logistic,transition_truth,3,orange,4,red,0,reported
1,fit,multinomial_logistic,transition_truth,4,red,0,green,0,reported
1,fit,multinomial_logistic,transition_truth,4,red,1,blue,0,reported
1,fit,multinomial_logistic,transition_truth,4,red,2,yellow,0,reported
1,fit,multinomial_logistic,transition_truth,4,red,3,orange,0,reported
1,fit,multinomial_logistic,transition_truth,4,red,4,red,1,reported
1,fit,fold1_prior,all_valid,0,green,0,green,56,reported
1,fit,fold1_prior,all_valid,0,green,1,blue,0,reported
1,fit,fold1_prior,all_valid,0,green,2,yellow,0,reported
1,fit,fold1_prior,all_valid,0,green,3,orange,0,reported
1,fit,fold1_prior,all_valid,0,green,4,red,0,reported
1,fit,fold1_prior,all_valid,1,blue,0,green,56,reported
1,fit,fold1_prior,all_valid,1,blue,1,blue,0,reported
1,fit,fold1_prior,all_valid,1,blue,2,yellow,0,reported
1,fit,fold1_prior,all_valid,1,blue,3,orange,0,reported
1,fit,fold1_prior,all_valid,1,blue,4,red,0,reported
1,fit,fold1_prior,all_valid,2,yellow,0,green,56,reported
1,fit,fold1_prior,all_valid,2,yellow,1,blue,0,reported
1,fit,fold1_prior,all_valid,2,yellow,2,yellow,0,reported
1,fit,fold1_prior,all_valid,2,yellow,3,orange,0,reported
1,fit,fold1_prior,all_valid,2,yellow,4,red,0,reported
1,fit,fold1_prior,all_valid,3,orange,0,green,56,reported
1,fit,fold1_prior,all_valid,3,orange,1,blue,0,reported
1,fit,fold1_prior,all_valid,3,orange,2,yellow,0,reported
1,fit,fold1_prior,all_valid,3,orange,3,orange,0,reported
1,fit,fold1_prior,all_valid,3,orange,4,red,0,reported
1,fit,fold1_prior,all_valid,4,red,0,green,56,reported
1,fit,fold1_prior,all_valid,4,red,1,blue,0,reported
1,fit,fold1_prior,all_valid,4,red,2,yellow,0,reported
1,fit,fold1_prior,all_valid,4,red,3,orange,0,reported
1,fit,fold1_prior,all_valid,4,red,4,red,0,reported
1,fit,fold1_prior,transition_truth,0,green,0,green,3,reported
1,fit,fold1_prior,transition_truth,0,green,1,blue,0,reported
1,fit,fold1_prior,transition_truth,0,green,2,yellow,0,reported
1,fit,fold1_prior,transition_truth,0,green,3,orange,0,reported
1,fit,fold1_prior,transition_truth,0,green,4,red,0,reported
1,fit,fold1_prior,transition_truth,1,blue,0,green,5,reported
1,fit,fold1_prior,transition_truth,1,blue,1,blue,0,reported
1,fit,fold1_prior,transition_truth,1,blue,2,yellow,0,reported
1,fit,fold1_prior,transition_truth,1,blue,3,orange,0,reported
1,fit,fold1_prior,transition_truth,1,blue,4,red,0,reported
1,fit,fold1_prior,transition_truth,2,yellow,0,green,4,reported
1,fit,fold1_prior,transition_truth,2,yellow,1,blue,0,reported
1,fit,fold1_prior,transition_truth,2,yellow,2,yellow,0,reported
1,fit,fold1_prior,transition_truth,2,yellow,3,orange,0,reported
1,fit,fold1_prior,transition_truth,2,yellow,4,red,0,reported
1,fit,fold1_prior,transition_truth,3,orange,0,green,3,reported
1,fit,fold1_prior,transition_truth,3,orange,1,blue,0,reported
1,fit,fold1_prior,transition_truth,3,orange,2,yellow,0,reported
1,fit,fold1_prior,transition_truth,3,orange,3,orange,0,reported
1,fit,fold1_prior,transition_truth,3,orange,4,red,0,reported
1,fit,fold1_prior,transition_truth,4,red,0,green,1,reported
1,fit,fold1_prior,transition_truth,4,red,1,blue,0,reported
1,fit,fold1_prior,transition_truth,4,red,2,yellow,0,reported
1,fit,fold1_prior,transition_truth,4,red,3,orange,0,reported
1,fit,fold1_prior,transition_truth,4,red,4,red,0,reported
1,fit,lag7_persistence,all_valid,0,green,0,green,41,reported
1,fit,lag7_persistence,all_valid,0,green,1,blue,11,reported
1,fit,lag7_persistence,all_valid,0,green,2,yellow,4,reported
1,fit,lag7_persistence,all_valid,0,green,3,orange,0,reported
1,fit,lag7_persistence,all_valid,0,green,4,red,0,reported
1,fit,lag7_persistence,all_valid,1,blue,0,green,8,reported
1,fit,lag7_persistence,all_valid,1,blue,1,blue,31,reported
1,fit,lag7_persistence,all_valid,1,blue,2,yellow,17,reported
1,fit,lag7_persistence,all_valid,1,blue,3,orange,0,reported
1,fit,lag7_persistence,all_valid,1,blue,4,red,0,reported
1,fit,lag7_persistence,all_valid,2,yellow,0,green,0,reported
1,fit,lag7_persistence,all_valid,2,yellow,1,blue,14,reported
1,fit,lag7_persistence,all_valid,2,yellow,2,yellow,21,reported
1,fit,lag7_persistence,all_valid,2,yellow,3,orange,14,reported
1,fit,lag7_persistence,all_valid,2,yellow,4,red,0,reported
1,fit,lag7_persistence,all_valid,3,orange,0,green,0,reported
1,fit,lag7_persistence,all_valid,3,orange,1,blue,0,reported
1,fit,lag7_persistence,all_valid,3,orange,2,yellow,14,reported
1,fit,lag7_persistence,all_valid,3,orange,3,orange,35,reported
1,fit,lag7_persistence,all_valid,3,orange,4,red,7,reported
1,fit,lag7_persistence,all_valid,4,red,0,green,0,reported
1,fit,lag7_persistence,all_valid,4,red,1,blue,0,reported
1,fit,lag7_persistence,all_valid,4,red,2,yellow,0,reported
1,fit,lag7_persistence,all_valid,4,red,3,orange,7,reported
1,fit,lag7_persistence,all_valid,4,red,4,red,49,reported
1,fit,lag7_persistence,transition_truth,0,green,0,green,0,reported
1,fit,lag7_persistence,transition_truth,0,green,1,blue,2,reported
1,fit,lag7_persistence,transition_truth,0,green,2,yellow,1,reported
1,fit,lag7_persistence,transition_truth,0,green,3,orange,0,reported
1,fit,lag7_persistence,transition_truth,0,green,4,red,0,reported
1,fit,lag7_persistence,transition_truth,1,blue,0,green,1,reported
1,fit,lag7_persistence,transition_truth,1,blue,1,blue,1,reported
1,fit,lag7_persistence,transition_truth,1,blue,2,yellow,3,reported
1,fit,lag7_persistence,transition_truth,1,blue,3,orange,0,reported
1,fit,lag7_persistence,transition_truth,1,blue,4,red,0,reported
1,fit,lag7_persistence,transition_truth,2,yellow,0,green,0,reported
1,fit,lag7_persistence,transition_truth,2,yellow,1,blue,2,reported
1,fit,lag7_persistence,transition_truth,2,yellow,2,yellow,0,reported
1,fit,lag7_persistence,transition_truth,2,yellow,3,orange,2,reported
1,fit,lag7_persistence,transition_truth,2,yellow,4,red,0,reported
1,fit,lag7_persistence,transition_truth,3,orange,0,green,0,reported
1,fit,lag7_persistence,transition_truth,3,orange,1,blue,0,reported
1,fit,lag7_persistence,transition_truth,3,orange,2,yellow,2,reported
1,fit,lag7_persistence,transition_truth,3,orange,3,orange,0,reported
1,fit,lag7_persistence,transition_truth,3,orange,4,red,1,reported
1,fit,lag7_persistence,transition_truth,4,red,0,green,0,reported
1,fit,lag7_persistence,transition_truth,4,red,1,blue,0,reported
1,fit,lag7_persistence,transition_truth,4,red,2,yellow,0,reported
1,fit,lag7_persistence,transition_truth,4,red,3,orange,1,reported
1,fit,lag7_persistence,transition_truth,4,red,4,red,0,reported
2,development_already_exposed,ngboost,all_valid,0,green,0,green,64,reported
2,development_already_exposed,ngboost,all_valid,0,green,1,blue,65,reported
2,development_already_exposed,ngboost,all_valid,0,green,2,yellow,9,reported
2,development_already_exposed,ngboost,all_valid,0,green,3,orange,0,reported
2,development_already_exposed,ngboost,all_valid,0,green,4,red,0,reported
2,development_already_exposed,ngboost,all_valid,1,blue,0,green,43,reported
2,development_already_exposed,ngboost,all_valid,1,blue,1,blue,4,reported
2,development_already_exposed,ngboost,all_valid,1,blue,2,yellow,11,reported
2,development_already_exposed,ngboost,all_valid,1,blue,3,orange,8,reported
2,development_already_exposed,ngboost,all_valid,1,blue,4,red,0,reported
2,development_already_exposed,ngboost,all_valid,2,yellow,0,green,10,reported
2,development_already_exposed,ngboost,all_valid,2,yellow,1,blue,11,reported
2,development_already_exposed,ngboost,all_valid,2,yellow,2,yellow,14,reported
2,development_already_exposed,ngboost,all_valid,2,yellow,3,orange,4,reported
2,development_already_exposed,ngboost,all_valid,2,yellow,4,red,0,reported
2,development_already_exposed,ngboost,all_valid,3,orange,0,green,0,reported
2,development_already_exposed,ngboost,all_valid,3,orange,1,blue,0,reported
2,development_already_exposed,ngboost,all_valid,3,orange,2,yellow,4,reported
2,development_already_exposed,ngboost,all_valid,3,orange,3,orange,17,reported
2,development_already_exposed,ngboost,all_valid,3,orange,4,red,0,reported
2,development_already_exposed,ngboost,all_valid,4,red,0,green,0,reported
2,development_already_exposed,ngboost,all_valid,4,red,1,blue,0,reported
2,development_already_exposed,ngboost,all_valid,4,red,2,yellow,0,reported
2,development_already_exposed,ngboost,all_valid,4,red,3,orange,16,reported
2,development_already_exposed,ngboost,all_valid,4,red,4,red,0,reported
2,development_already_exposed,ngboost,transition_truth,0,green,0,green,0,reported
2,development_already_exposed,ngboost,transition_truth,0,green,1,blue,1,reported
2,development_already_exposed,ngboost,transition_truth,0,green,2,yellow,1,reported
2,development_already_exposed,ngboost,transition_truth,0,green,3,orange,0,reported
2,development_already_exposed,ngboost,transition_truth,0,green,4,red,0,reported
2,development_already_exposed,ngboost,transition_truth,1,blue,0,green,0,reported
2,development_already_exposed,ngboost,transition_truth,1,blue,1,blue,0,reported
2,development_already_exposed,ngboost,transition_truth,1,blue,2,yellow,4,reported
2,development_already_exposed,ngboost,transition_truth,1,blue,3,orange,0,reported
2,development_already_exposed,ngboost,transition_truth,1,blue,4,red,0,reported
2,development_already_exposed,ngboost,transition_truth,2,yellow,0,green,1,reported
2,development_already_exposed,ngboost,transition_truth,2,yellow,1,blue,0,reported
2,development_already_exposed,ngboost,transition_truth,2,yellow,2,yellow,0,reported
2,development_already_exposed,ngboost,transition_truth,2,yellow,3,orange,1,reported
2,development_already_exposed,ngboost,transition_truth,2,yellow,4,red,0,reported
2,development_already_exposed,ngboost,transition_truth,3,orange,0,green,0,reported
2,development_already_exposed,ngboost,transition_truth,3,orange,1,blue,0,reported
2,development_already_exposed,ngboost,transition_truth,3,orange,2,yellow,1,reported
2,development_already_exposed,ngboost,transition_truth,3,orange,3,orange,1,reported
2,development_already_exposed,ngboost,transition_truth,3,orange,4,red,0,reported
2,development_already_exposed,ngboost,transition_truth,4,red,0,green,0,reported
2,development_already_exposed,ngboost,transition_truth,4,red,1,blue,0,reported
2,development_already_exposed,ngboost,transition_truth,4,red,2,yellow,0,reported
2,development_already_exposed,ngboost,transition_truth,4,red,3,orange,1,reported
2,development_already_exposed,ngboost,transition_truth,4,red,4,red,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,0,green,0,green,48,reported
2,development_already_exposed,multinomial_logistic,all_valid,0,green,1,blue,70,reported
2,development_already_exposed,multinomial_logistic,all_valid,0,green,2,yellow,20,reported
2,development_already_exposed,multinomial_logistic,all_valid,0,green,3,orange,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,0,green,4,red,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,1,blue,0,green,1,reported
2,development_already_exposed,multinomial_logistic,all_valid,1,blue,1,blue,10,reported
2,development_already_exposed,multinomial_logistic,all_valid,1,blue,2,yellow,55,reported
2,development_already_exposed,multinomial_logistic,all_valid,1,blue,3,orange,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,1,blue,4,red,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,2,yellow,0,green,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,2,yellow,1,blue,32,reported
2,development_already_exposed,multinomial_logistic,all_valid,2,yellow,2,yellow,7,reported
2,development_already_exposed,multinomial_logistic,all_valid,2,yellow,3,orange,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,2,yellow,4,red,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,3,orange,0,green,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,3,orange,1,blue,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,3,orange,2,yellow,16,reported
2,development_already_exposed,multinomial_logistic,all_valid,3,orange,3,orange,5,reported
2,development_already_exposed,multinomial_logistic,all_valid,3,orange,4,red,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,4,red,0,green,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,4,red,1,blue,0,reported
2,development_already_exposed,multinomial_logistic,all_valid,4,red,2,yellow,3,reported
2,development_already_exposed,multinomial_logistic,all_valid,4,red,3,orange,13,reported
2,development_already_exposed,multinomial_logistic,all_valid,4,red,4,red,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,0,green,0,green,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,0,green,1,blue,1,reported
2,development_already_exposed,multinomial_logistic,transition_truth,0,green,2,yellow,1,reported
2,development_already_exposed,multinomial_logistic,transition_truth,0,green,3,orange,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,0,green,4,red,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,1,blue,0,green,1,reported
2,development_already_exposed,multinomial_logistic,transition_truth,1,blue,1,blue,1,reported
2,development_already_exposed,multinomial_logistic,transition_truth,1,blue,2,yellow,2,reported
2,development_already_exposed,multinomial_logistic,transition_truth,1,blue,3,orange,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,1,blue,4,red,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,2,yellow,0,green,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,2,yellow,1,blue,1,reported
2,development_already_exposed,multinomial_logistic,transition_truth,2,yellow,2,yellow,1,reported
2,development_already_exposed,multinomial_logistic,transition_truth,2,yellow,3,orange,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,2,yellow,4,red,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,3,orange,0,green,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,3,orange,1,blue,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,3,orange,2,yellow,2,reported
2,development_already_exposed,multinomial_logistic,transition_truth,3,orange,3,orange,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,3,orange,4,red,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,4,red,0,green,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,4,red,1,blue,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,4,red,2,yellow,0,reported
2,development_already_exposed,multinomial_logistic,transition_truth,4,red,3,orange,1,reported
2,development_already_exposed,multinomial_logistic,transition_truth,4,red,4,red,0,reported
2,development_already_exposed,fold1_prior,all_valid,0,green,0,green,138,reported
2,development_already_exposed,fold1_prior,all_valid,0,green,1,blue,0,reported
2,development_already_exposed,fold1_prior,all_valid,0,green,2,yellow,0,reported
2,development_already_exposed,fold1_prior,all_valid,0,green,3,orange,0,reported
2,development_already_exposed,fold1_prior,all_valid,0,green,4,red,0,reported
2,development_already_exposed,fold1_prior,all_valid,1,blue,0,green,66,reported
2,development_already_exposed,fold1_prior,all_valid,1,blue,1,blue,0,reported
2,development_already_exposed,fold1_prior,all_valid,1,blue,2,yellow,0,reported
2,development_already_exposed,fold1_prior,all_valid,1,blue,3,orange,0,reported
2,development_already_exposed,fold1_prior,all_valid,1,blue,4,red,0,reported
2,development_already_exposed,fold1_prior,all_valid,2,yellow,0,green,39,reported
2,development_already_exposed,fold1_prior,all_valid,2,yellow,1,blue,0,reported
2,development_already_exposed,fold1_prior,all_valid,2,yellow,2,yellow,0,reported
2,development_already_exposed,fold1_prior,all_valid,2,yellow,3,orange,0,reported
2,development_already_exposed,fold1_prior,all_valid,2,yellow,4,red,0,reported
2,development_already_exposed,fold1_prior,all_valid,3,orange,0,green,21,reported
2,development_already_exposed,fold1_prior,all_valid,3,orange,1,blue,0,reported
2,development_already_exposed,fold1_prior,all_valid,3,orange,2,yellow,0,reported
2,development_already_exposed,fold1_prior,all_valid,3,orange,3,orange,0,reported
2,development_already_exposed,fold1_prior,all_valid,3,orange,4,red,0,reported
2,development_already_exposed,fold1_prior,all_valid,4,red,0,green,16,reported
2,development_already_exposed,fold1_prior,all_valid,4,red,1,blue,0,reported
2,development_already_exposed,fold1_prior,all_valid,4,red,2,yellow,0,reported
2,development_already_exposed,fold1_prior,all_valid,4,red,3,orange,0,reported
2,development_already_exposed,fold1_prior,all_valid,4,red,4,red,0,reported
2,development_already_exposed,fold1_prior,transition_truth,0,green,0,green,2,reported
2,development_already_exposed,fold1_prior,transition_truth,0,green,1,blue,0,reported
2,development_already_exposed,fold1_prior,transition_truth,0,green,2,yellow,0,reported
2,development_already_exposed,fold1_prior,transition_truth,0,green,3,orange,0,reported
2,development_already_exposed,fold1_prior,transition_truth,0,green,4,red,0,reported
2,development_already_exposed,fold1_prior,transition_truth,1,blue,0,green,4,reported
2,development_already_exposed,fold1_prior,transition_truth,1,blue,1,blue,0,reported
2,development_already_exposed,fold1_prior,transition_truth,1,blue,2,yellow,0,reported
2,development_already_exposed,fold1_prior,transition_truth,1,blue,3,orange,0,reported
2,development_already_exposed,fold1_prior,transition_truth,1,blue,4,red,0,reported
2,development_already_exposed,fold1_prior,transition_truth,2,yellow,0,green,2,reported
2,development_already_exposed,fold1_prior,transition_truth,2,yellow,1,blue,0,reported
2,development_already_exposed,fold1_prior,transition_truth,2,yellow,2,yellow,0,reported
2,development_already_exposed,fold1_prior,transition_truth,2,yellow,3,orange,0,reported
2,development_already_exposed,fold1_prior,transition_truth,2,yellow,4,red,0,reported
2,development_already_exposed,fold1_prior,transition_truth,3,orange,0,green,2,reported
2,development_already_exposed,fold1_prior,transition_truth,3,orange,1,blue,0,reported
2,development_already_exposed,fold1_prior,transition_truth,3,orange,2,yellow,0,reported
2,development_already_exposed,fold1_prior,transition_truth,3,orange,3,orange,0,reported
2,development_already_exposed,fold1_prior,transition_truth,3,orange,4,red,0,reported
2,development_already_exposed,fold1_prior,transition_truth,4,red,0,green,1,reported
2,development_already_exposed,fold1_prior,transition_truth,4,red,1,blue,0,reported
2,development_already_exposed,fold1_prior,transition_truth,4,red,2,yellow,0,reported
2,development_already_exposed,fold1_prior,transition_truth,4,red,3,orange,0,reported
2,development_already_exposed,fold1_prior,transition_truth,4,red,4,red,0,reported
2,development_already_exposed,lag7_persistence,all_valid,0,green,0,green,122,reported
2,development_already_exposed,lag7_persistence,all_valid,0,green,1,blue,6,reported
2,development_already_exposed,lag7_persistence,all_valid,0,green,2,yellow,3,reported
2,development_already_exposed,lag7_persistence,all_valid,0,green,3,orange,0,reported
2,development_already_exposed,lag7_persistence,all_valid,0,green,4,red,0,reported
2,development_already_exposed,lag7_persistence,all_valid,1,blue,0,green,10,reported
2,development_already_exposed,lag7_persistence,all_valid,1,blue,1,blue,52,reported
2,development_already_exposed,lag7_persistence,all_valid,1,blue,2,yellow,0,reported
2,development_already_exposed,lag7_persistence,all_valid,1,blue,3,orange,4,reported
2,development_already_exposed,lag7_persistence,all_valid,1,blue,4,red,0,reported
2,development_already_exposed,lag7_persistence,all_valid,2,yellow,0,green,0,reported
2,development_already_exposed,lag7_persistence,all_valid,2,yellow,1,blue,7,reported
2,development_already_exposed,lag7_persistence,all_valid,2,yellow,2,yellow,29,reported
2,development_already_exposed,lag7_persistence,all_valid,2,yellow,3,orange,3,reported
2,development_already_exposed,lag7_persistence,all_valid,2,yellow,4,red,0,reported
2,development_already_exposed,lag7_persistence,all_valid,3,orange,0,green,0,reported
2,development_already_exposed,lag7_persistence,all_valid,3,orange,1,blue,0,reported
2,development_already_exposed,lag7_persistence,all_valid,3,orange,2,yellow,7,reported
2,development_already_exposed,lag7_persistence,all_valid,3,orange,3,orange,7,reported
2,development_already_exposed,lag7_persistence,all_valid,3,orange,4,red,7,reported
2,development_already_exposed,lag7_persistence,all_valid,4,red,0,green,0,reported
2,development_already_exposed,lag7_persistence,all_valid,4,red,1,blue,0,reported
2,development_already_exposed,lag7_persistence,all_valid,4,red,2,yellow,0,reported
2,development_already_exposed,lag7_persistence,all_valid,4,red,3,orange,7,reported
2,development_already_exposed,lag7_persistence,all_valid,4,red,4,red,9,reported
2,development_already_exposed,lag7_persistence,transition_truth,0,green,0,green,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,0,green,1,blue,1,reported
2,development_already_exposed,lag7_persistence,transition_truth,0,green,2,yellow,1,reported
2,development_already_exposed,lag7_persistence,transition_truth,0,green,3,orange,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,0,green,4,red,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,1,blue,0,green,2,reported
2,development_already_exposed,lag7_persistence,transition_truth,1,blue,1,blue,1,reported
2,development_already_exposed,lag7_persistence,transition_truth,1,blue,2,yellow,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,1,blue,3,orange,1,reported
2,development_already_exposed,lag7_persistence,transition_truth,1,blue,4,red,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,2,yellow,0,green,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,2,yellow,1,blue,1,reported
2,development_already_exposed,lag7_persistence,transition_truth,2,yellow,2,yellow,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,2,yellow,3,orange,1,reported
2,development_already_exposed,lag7_persistence,transition_truth,2,yellow,4,red,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,3,orange,0,green,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,3,orange,1,blue,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,3,orange,2,yellow,1,reported
2,development_already_exposed,lag7_persistence,transition_truth,3,orange,3,orange,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,3,orange,4,red,1,reported
2,development_already_exposed,lag7_persistence,transition_truth,4,red,0,green,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,4,red,1,blue,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,4,red,2,yellow,0,reported
2,development_already_exposed,lag7_persistence,transition_truth,4,red,3,orange,1,reported
